County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
2,Anoka,2805,RAMSEY W-3 P-1,728,ISD 728,14,,,,,,,,,
2,Anoka,2810,RAMSEY W-3 P-2,11,ANOKA-HENNEPIN,1248,,,,,,,,,
2,Anoka,2905,RAMSEY W-4 P-1,11,ANOKA-HENNEPIN,2079,,,,,,,,,
2,Anoka,2910,RAMSEY W-4 P-2,11,ANOKA-HENNEPIN,2108,,,,,,,,,
2,Anoka,3005,SAINT FRANCIS P-1,15,ST. FRANCIS AREA,2718,,,,,,,,,
2,Anoka,3010,SAINT FRANCIS P-2,15,ST. FRANCIS AREA,2336,,,,,,,,,
2,Anoka,3105,SPRING LAKE PARK P-1A,16,SPRING LAKE PARK,1058,,,,,,,,,
2,Anoka,3110,SPRING LAKE PARK P-2,16,SPRING LAKE PARK,1228,,,,,,,,,
2,Anoka,3115,SPRING LAKE PARK P-3,16,SPRING LAKE PARK,1978,,,,,,,,,
3,Becker,5,ATLANTA TWP,2889,LAKE PARK AUDUBON,20,,,,,,,,,
3,Becker,5,ATLANTA TWP,914,ULEN-HITTERDAL,54,,,,,,,,,
3,Becker,10,AUDUBON,2889,LAKE PARK AUDUBON,304,,,,,,,,,
3,Becker,15,AUDUBON TWP,22,DETROIT LAKES,37,,,,,,,,,
3,Becker,15,AUDUBON TWP,2889,LAKE PARK AUDUBON,441,,,,,,,,,
3,Becker,20,BURLINGTON TWP,22,DETROIT LAKES,474,,,,,,,,,
3,Becker,20,BURLINGTON TWP,23,FRAZEE-VERGAS,623,,,,,,,,,
3,Becker,25,CALLAWAY,22,DETROIT LAKES,100,,,,,,,,,
3,Becker,30,CALLAWAY TWP,22,DETROIT LAKES,90,,,,,,,,,
3,Becker,30,CALLAWAY TWP,435,WAUBUN-OGEMA-WHITE EARTH,79,,,,,,,,,
3,Becker,35,CARSONVILLE TWP,309,PARK RAPIDS,148,,,,,,,,,
3,Becker,35,CARSONVILLE TWP,309,PARK RAPIDS,3,,,,,,,,,
3,Becker,40,CORMORANT TWP,2889,LAKE PARK AUDUBON,667,,,,,,,,,
3,Becker,40,CORMORANT TWP,548,PELICAN RAPIDS,148,,,,,,,,,
3,Becker,45,CUBA TWP,2889,LAKE PARK AUDUBON,190,,,,,,,,,
3,Becker,45,CUBA TWP,914,ULEN-HITTERDAL,3,,,,,,,,,
3,Becker,50,DETROIT TWP P-1,22,DETROIT LAKES,828,,,,,,,,,
3,Becker,51,DETROIT TWP P-2,22,DETROIT LAKES,477,,,,,,,,,
3,Becker,55,DETROIT LAKES W1 P1,22,DETROIT LAKES,1903,,,,,,,,,
3,Becker,65,DETROIT LAKES W2 P1,22,DETROIT LAKES,1789,,,,,,,,,
3,Becker,75,DETROIT LAKES W3 P1,22,DETROIT LAKES,2284,,,,,,,,,
3,Becker,82,EAGLE VIEW TWP,435,WAUBUN-OGEMA-WHITE EARTH,100,,,,,,,,,
3,Becker,85,ERIE TWP,22,DETROIT LAKES,630,,,,,,,,,
3,Becker,85,ERIE TWP,23,FRAZEE-VERGAS,601,,,,,,,,,
3,Becker,90,EVERGREEN TWP,23,FRAZEE-VERGAS,167,,,,,,,,,
3,Becker,90,EVERGREEN TWP,549,PERHAM-DENT,2,,,,,,,,,
3,Becker,90,EVERGREEN TWP,553,NEW YORK MILLS,4,,,,,,,,,
3,Becker,95,FOREST TWP,309,PARK RAPIDS,4,,,,,,,,,
3,Becker,95,FOREST TWP,309,PARK RAPIDS,7,,,,,,,,,
3,Becker,95,FOREST TWP,435,WAUBUN-OGEMA-WHITE EARTH,73,,,,,,,,,
3,Becker,100,FRAZEE,23,FRAZEE-VERGAS,719,,,,,,,,,
3,Becker,105,GREEN VALLEY TWP,309,PARK RAPIDS,87,,,,,,,,,
3,Becker,105,GREEN VALLEY TWP,309,PARK RAPIDS,15,,,,,,,,,
3,Becker,105,GREEN VALLEY TWP,821,MENAHGA,131,,,,,,,,,
3,Becker,110,HAMDEN TWP,22,DETROIT LAKES,35,,,,,,,,,
3,Becker,110,HAMDEN TWP,2889,LAKE PARK AUDUBON,98,,,,,,,,,
